line_no,news_id,source,title,old_decision,new_decision,new_category,new_risk_tier,changed,new_reason_codes
17002,8190f7d615e45ebd8e9bc9118e537710,TASS,Тренер Беляев оценил результаты российских пловцов на открытой воде на ЧЕ,review,hard_block,SPORT_BLOCKED,red,True,sport_blocked
17003,142f52b6e9af751d451077251cd7aa6f,TASS,Аэропорт Внуково обслуживает рейсы по согласованию,review,hard_block,airport,red,True,manual_airport_hard_block
17004,2a30cd9ed3d4f322ad482cfea9e214da,TASS,Панарин расстроился из-за отсутствия сборной России на Матче звезд НХЛ,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
17012,75581c33036c0fa4df134d8026060bb6,TASS,В Ормузском проливе ракеты атаковали судно нефтяной компании ADNOC,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17101,74a03b6df21aa44c28c37735276cf847,TASS,Над Севастополем сбили 35 БПЛА,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
17102,f2f6a3b782a95cdb0252ab00eb247636,TASS,В Павлограде произошли взрывы,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
17301,7f03def3d733cc921838d34c766b6c58,TASS,Собянин рассказал о преимуществах нового путепровода над трассой СБВ,hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17302,5b575e83b94c13f14b444b682ca5498c,TASS,"Вучич сообщил, что Сербия ""сделает все"" для помощи Украине с вступлением в ЕС",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17401,846c5df3f095e537ea954914d862259d,TASS,Движение машин по Крымскому мосту возобновили,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17402,1413dafae370b86e6f5c9224472e4e2e,TASS,Овечкин вынужден ходить в окружении восьми охранников из-за ажиотажа в Мытищах,hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17403,a7ae948e31d831eb8c3136484acf4ee6,TASS,В аэропортах Сочи и Краснодара сняли ограничения,review,hard_block,airport,red,True,manual_airport_hard_block
17414,9b82089d2a66d25ecdc739985806a635,TASS,Собянин: масштабные заказы Москвы формируют долгосрочные производственные цепочки,hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17501,8e12cd6bd227c4662daf000a6562a554,TASS,Вучич назвал маловероятным скорое вступление Сербии в ЕС,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17502,b100deba75d70b3f57308cc45c86b1d8,TASS,"Овечкину вручили приз ""Серебряная лань"" как лучшему спортсмену 2025 года",hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
17503,80d7d028abcdca5724d03b6ca8ae5ee0,TASS,Правящая партия Венгрии предложила назначить президентом экс-главу Верховного суда,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17504,b6b6a34433e4f26e81d338d23334fa46,TASS,Внешнее энергоснабжение Запорожской АЭС восстановили менее чем за час,allow,allow,,green,False,primary:labor_economy
17505,b5ba971e692e64a6be436a1e4188ab1c,TASS,Писатель Цыпкин назвал оправданным перенос премьер зарубежных фильмов в РФ,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17601,e1e891cd0e9edc0f97cee782fee0c5b5,TASS,Арагчи: Иран и Оман близки к заключению соглашения по Ормузскому проливу,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17602,cd4485e071f335e56d6147a3fda27cb8,TASS,В Армении арестовали зятя Царукяна по делу о заказном убийстве,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17603,89312ce519ebfeb22086ed56cac8f0de,TASS,Вучич: товарооборот Сербии и Украины за I полугодие превысил $320 млн,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
